2026-04-04 17:27:13,349 INFO Loading SWE-bench Lite instance IDs...
2026-04-04 17:27:15,332 INFO Loaded 300 Lite instance IDs
2026-04-04 17:27:15,333 INFO Loading BM25 13K dataset (streaming)...
2026-04-04 17:27:17,871 INFO Filtering BM25 instances to SWE-bench Lite...
2026-04-04 17:27:20,818 INFO Found 300 matching instances in BM25 dataset
Running inference:  91%|█████████ | 273/300 [1:10:44<03:51,  8.56s/it]2026-04-04 18:38:13,653 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:38:13,653 INFO [274/300] sympy__sympy-19254 - patch_len=1409, elapsed=8.2s
Running inference:  91%|█████████▏| 274/300 [1:10:52<03:39,  8.46s/it]2026-04-04 18:38:17,148 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:38:17,149 INFO [275/300] sympy__sympy-19487 - patch_len=528, elapsed=3.5s
Running inference:  92%|█████████▏| 275/300 [1:10:56<02:54,  6.97s/it]2026-04-04 18:38:20,389 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:38:20,390 INFO [276/300] sympy__sympy-20049 - patch_len=475, elapsed=3.2s
Running inference:  92%|█████████▏| 276/300 [1:10:59<02:20,  5.85s/it]2026-04-04 18:38:34,659 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:38:34,660 INFO [277/300] sympy__sympy-20154 - patch_len=1316, elapsed=14.3s
Running inference:  92%|█████████▏| 277/300 [1:11:13<03:12,  8.38s/it]2026-04-04 18:38:39,495 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:38:39,496 INFO [278/300] sympy__sympy-20212 - patch_len=1151, elapsed=4.8s
Running inference:  93%|█████████▎| 278/300 [1:11:18<02:40,  7.31s/it]2026-04-04 18:38:49,671 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:38:49,671 INFO [279/300] sympy__sympy-20322 - patch_len=2834, elapsed=10.2s
Running inference:  93%|█████████▎| 279/300 [1:11:28<02:51,  8.17s/it]2026-04-04 18:38:52,754 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:38:52,754 INFO [280/300] sympy__sympy-20442 - patch_len=420, elapsed=3.1s
Running inference:  93%|█████████▎| 280/300 [1:11:31<02:12,  6.65s/it]2026-04-04 18:39:28,410 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:39:28,411 INFO [281/300] sympy__sympy-20590 - patch_len=7338, elapsed=35.7s
Running inference:  94%|█████████▎| 281/300 [1:12:07<04:51, 15.35s/it]2026-04-04 18:40:16,418 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:40:16,462 INFO [282/300] sympy__sympy-20639 - patch_len=10197, elapsed=48.1s
Running inference:  94%|█████████▍| 282/300 [1:12:55<07:32, 25.16s/it]2026-04-04 18:41:06,882 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:41:06,927 INFO [283/300] sympy__sympy-21055 - patch_len=12182, elapsed=50.5s
Running inference:  94%|█████████▍| 283/300 [1:13:46<09:16, 32.75s/it]2026-04-04 18:41:10,931 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:41:10,932 INFO [284/300] sympy__sympy-21171 - patch_len=768, elapsed=4.0s
Running inference:  95%|█████████▍| 284/300 [1:13:50<06:26, 24.13s/it]2026-04-04 18:41:21,591 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:41:21,591 INFO [285/300] sympy__sympy-21379 - patch_len=2692, elapsed=10.7s
Running inference:  95%|█████████▌| 285/300 [1:14:00<05:01, 20.09s/it]2026-04-04 18:41:52,425 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:41:52,426 INFO [286/300] sympy__sympy-21612 - patch_len=7281, elapsed=30.8s
Running inference:  95%|█████████▌| 286/300 [1:14:31<05:26, 23.31s/it]2026-04-04 18:41:57,117 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:41:57,117 INFO [287/300] sympy__sympy-21614 - patch_len=783, elapsed=4.7s
Running inference:  96%|█████████▌| 287/300 [1:14:36<03:50, 17.73s/it]2026-04-04 18:42:03,312 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:42:03,313 INFO [288/300] sympy__sympy-21627 - patch_len=1439, elapsed=6.2s
Running inference:  96%|█████████▌| 288/300 [1:14:42<02:51, 14.27s/it]2026-04-04 18:42:22,539 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:42:22,540 INFO [289/300] sympy__sympy-21847 - patch_len=3846, elapsed=19.2s
Running inference:  96%|█████████▋| 289/300 [1:15:01<02:53, 15.75s/it]2026-04-04 18:42:27,287 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:42:27,288 INFO [290/300] sympy__sympy-22005 - patch_len=739, elapsed=4.7s
Running inference:  97%|█████████▋| 290/300 [1:15:06<02:04, 12.45s/it]2026-04-04 18:42:31,131 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:42:31,132 INFO [291/300] sympy__sympy-22714 - patch_len=688, elapsed=3.8s
Running inference:  97%|█████████▋| 291/300 [1:15:10<01:28,  9.87s/it]2026-04-04 18:43:38,481 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:43:38,482 INFO [292/300] sympy__sympy-22840 - patch_len=14823, elapsed=67.3s
Running inference:  97%|█████████▋| 292/300 [1:16:17<03:36, 27.11s/it]2026-04-04 18:43:48,171 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:43:48,172 INFO [293/300] sympy__sympy-23117 - patch_len=445, elapsed=9.7s
Running inference:  98%|█████████▊| 293/300 [1:16:27<02:33, 21.89s/it]2026-04-04 18:43:50,407 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:43:50,407 INFO [294/300] sympy__sympy-23191 - patch_len=0, elapsed=2.2s
Running inference:  98%|█████████▊| 294/300 [1:16:29<01:35, 15.99s/it]2026-04-04 18:44:51,971 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:44:51,972 INFO [295/300] sympy__sympy-23262 - patch_len=15472, elapsed=61.6s
Running inference:  98%|█████████▊| 295/300 [1:17:31<02:28, 29.66s/it]2026-04-04 18:45:03,704 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:45:03,705 INFO [296/300] sympy__sympy-24066 - patch_len=2863, elapsed=11.7s
Running inference:  99%|█████████▊| 296/300 [1:17:42<01:37, 24.28s/it]2026-04-04 18:45:12,334 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:45:12,335 INFO [297/300] sympy__sympy-24102 - patch_len=2046, elapsed=8.6s
Running inference:  99%|█████████▉| 297/300 [1:17:51<00:58, 19.59s/it]2026-04-04 18:45:16,630 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:45:16,630 INFO [298/300] sympy__sympy-24152 - patch_len=948, elapsed=4.3s
Running inference:  99%|█████████▉| 298/300 [1:17:55<00:30, 15.00s/it]2026-04-04 18:45:23,113 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:45:23,113 INFO [299/300] sympy__sympy-24213 - patch_len=1738, elapsed=6.5s
Running inference: 100%|█████████▉| 299/300 [1:18:02<00:12, 12.45s/it]2026-04-04 18:45:28,056 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:45:28,057 INFO [300/300] sympy__sympy-24909 - patch_len=960, elapsed=4.9s
Running inference: 100%|██████████| 300/300 [1:18:07<00:00, 10.19s/it]Running inference: 100%|██████████| 300/300 [1:18:07<00:00, 15.62s/it]
2026-04-04 18:45:28,057 INFO Done! Processed 300 instances, skipped 0 (already done). Results saved to gigachat-bench/predictions/gigachat31_10b__swe-bench_lite__v4.jsonl
